交易所,代码,公司,行业,PE,股息率,净利润率,毛利率,PB,ROE_TTM_2020,ROE_TTM_2019,ROE_TTM_2018,ROE_TTM_2017,ROE_TTM_2016,ROE_TTM_2015,净利润2020,净利润2019,净利润2018,净利润2017,净利润2016,每股收益2020TTM,每股收益2020,关注度
sz,="300245",天玑科技,信息技术服务,118.2872,0.0022,0.0719,0.2895,2.4833,0.0208,0.0419,0.0313,0.0687,0.058,0.1149,30236141,59387469,55040017,57535578.56,43677395.04,0.0965,0.1074,87
sh,="603960",克来机电,专用设备,118.2465,0.0024,0.1628,0.3044,18.0864,0.1885,0.1557,0.1167,,,,104854798,74355887,51604604,,,0.5966,0.5689,197
sz,="300496",中科创达,互联网软件与服务,117.997,0.0014,0.1319,0.4373,7.0491,0.1421,0.1218,0.0688,0.1041,0.1652,,254008699,176934758,89520872,114081257.68,112202179.08,0.6311,0.5904,576
sz,="000021",深科技,电脑与外围设备,117.7615,0.0023,0.0336,0.1059,5.652,0.0634,0.0942,0.0936,0.0353,0.0525,0.0649,329829706,548475698,510009636,180123226.79,279849097.51,0.2242,0.2395,271
sz,="000403",双林生物,生物科技,117.5369,0.0017,0.1672,0.5107,22.8772,0.2161,0.1164,0.0699,0.0867,0.1374,0.036,161090837,76094331,47029356,55733857.39,81432772.51,0.591,0.5886,151
sh,="603042",华脉科技,通信设备,117.521,0.0027,0.0163,0.2416,3.3474,0.0209,-0.144,,,,,18892234,-127533864,54767174,,,0.1389,0.174,93
sz,="001914",招商积余,住宅地产开发和管理,117.1434,0.0031,0.0413,0.1613,4.2889,0.0419,0.1663,0.0239,0.0531,0.0633,0.0865,,844079332,294696659,241541773,312750182,0.274,0.2699,102
sh,="603101",汇嘉时代,百货商店,117.1111,0,0.0059,0.1846,2.0309,0.0176,0.0256,0.0881,0.1142,,,24019849,34316638,113731118,108390117.9,,0.0715,0.0827,39
sh,="600988",赤峰黄金,有色金属,116.8749,0,0.0285,0.2264,9.491,0.0489,-0.0292,0.1133,0.138,0.1136,0.1843,137048812,-104626897,297779171,313058977.57,227622670.65,0.0824,0.1209,163
sz,="300516",久之洋,电子设备及服务,116.8615,0.002,0.1001,0.3026,5.935,0.0509,0.0442,0.0243,0.178,,,53787746,48787422,28726260,142911866.7,,0.2988,0.346,51
sz,="300115",长盈精密,电子元器件,116.7071,0.004,0.0188,0.2079,4.9785,0.0359,0.0076,0.0884,0.1968,0.1529,0.1321,123416189,51453308,400759424,746818695.6,494715581.33,0.1356,0.0921,678
sh,="603348",文灿股份,汽车零配件与设备,116.5193,0.0064,0.0332,0.237,2.4133,0.0207,0.0728,,,,,46789289,117972379,163197071,,,0.202,0.3214,94
sz,="000010",美丽生态,建筑与工程,115.8993,0,0.0536,0.2295,8.4843,0.1199,-0.6717,-0.6511,0.0214,0.0014,-0.1225,31903084,-682054506,-1082483258,47075710.4,2906085.2,0.0389,0.0567,50
sh,="600386",北巴传媒,专营零售,115.8787,0.0099,0.0096,0.1748,1.8984,0.0244,0.0629,0.0618,0.0614,0.0838,0.1139,31368787,104701374,99203564,111446878.64,140977444.51,0.0389,0.1081,57
sh,="600137",浪莎股份,服装与配饰,115.7852,0.0055,0.0477,0.1713,3.5326,0.03,0.0611,0.0511,0.0296,-0.0387,-0.0015,15231028,30122994,23982325,13358967.36,-17539212.93,0.1567,0.1629,32
sz,="002199",东晶电子,电子元器件,115.2807,0,0.0913,0.1413,5.5942,0.0497,-0.1857,-0.0131,0.0677,-0.5078,-0.2391,19216795,-77132568,-5976756,37933265.76,-276281502.36,0.0789,0.0608,58
sz,="002830",名雕股份,建筑与工程,115.2754,0.0094,0.0219,0.276,3.0683,0.0301,0.0792,0.0905,,,,15916307,46603440,50989958,,,0.1194,0.1817,44
sh,="688029",南微医学,医疗保健设备与用品,115.2293,0.0043,0.2307,,12.533,0.1796,,,,,,,202882168,,,,2.1526,2.2769,193
